Category of travel,Aug 2019 (no.),Aug 2023 (no.),Aug 2024 (no.),Aug 2025 (no.),Aug 2024 - 2025 change (%)
Permanent arrivals,9660,13230,12490,11770,-5.7
Long-term resident returns,11880,12080,11350,11280,-0.6
Short-term resident returns,930970,858540,916890,972070,6.0
Long-term visitor arrivals,40960,57490,56940,61360,7.8
Short-term visitor arrivals,789200,603360,658810,753320,14.3
Long-term resident departures,26460,27040,31620,26170,-17.3
Short-term resident departures,958520,866380,948500,998180,5.2
Long-term visitor departures,17620,21500,25370,26800,5.6
Short-term visitor departures,807070,601580,688950,783480,13.7

