state_or_territory_of_stay,year,visitors
Australian Capital Territory,Jul 2019,22570
New South Wales,Jul 2019,370540
Northern Territory,Jul 2019,9560
Queensland,Jul 2019,189380
South Australia,Jul 2019,52230
Tasmania,Jul 2019,13450
Victoria,Jul 2019,321280
Western Australia,Jul 2019,143360
Australian Capital Territory,Jul 2023,20430
New South Wales,Jul 2023,333870
Northern Territory,Jul 2023,5750
Queensland,Jul 2023,161510
South Australia,Jul 2023,45850
Tasmania,Jul 2023,10650
Victoria,Jul 2023,289650
Western Australia,Jul 2023,127610
Australian Capital Territory,Jul 2024,22150
New South Wales,Jul 2024,370920
Northern Territory,Jul 2024,6210
Queensland,Jul 2024,203250
South Australia,Jul 2024,52870
Tasmania,Jul 2024,11610
Victoria,Jul 2024,325030
Western Australia,Jul 2024,154140
Australian Capital Territory,Jul 2025,23090
New South Wales,Jul 2025,380970
Northern Territory,Jul 2025,8370
Queensland,Jul 2025,217730
South Australia,Jul 2025,54790
Tasmania,Jul 2025,13920
Victoria,Jul 2025,335080
Western Australia,Jul 2025,170950
