Date,Month,Arrivals (M),Departures (M)
2015-07-01,Jul 2015,1.65,1.43
2015-08-01,Aug 2015,1.42,1.45
2015-09-01,Sep 2015,1.46,1.48
2015-10-01,Oct 2015,1.65,1.4
2015-11-01,Nov 2015,1.42,1.44
2015-12-01,Dec 2015,1.58,1.85
2016-01-01,Jan 2016,1.91,1.64
2016-02-01,Feb 2016,1.56,1.37
2016-03-01,Mar 2016,1.48,1.54
2016-04-01,Apr 2016,1.47,1.49
2016-05-01,May 2016,1.3,1.39
2016-06-01,Jun 2016,1.33,1.58
2016-07-01,Jul 2016,1.83,1.57
2016-08-01,Aug 2016,1.51,1.55
2016-09-01,Sep 2016,1.59,1.6
2016-10-01,Oct 2016,1.78,1.5
2016-11-01,Nov 2016,1.51,1.54
2016-12-01,Dec 2016,1.72,1.99
2017-01-01,Jan 2017,2.07,1.78
2017-02-01,Feb 2017,1.63,1.39
2017-03-01,Mar 2017,1.52,1.58
2017-04-01,Apr 2017,1.65,1.71
2017-05-01,May 2017,1.4,1.49
2017-06-01,Jun 2017,1.42,1.67
2017-07-01,Jul 2017,1.91,1.65
2017-08-01,Aug 2017,1.62,1.66
2017-09-01,Sep 2017,1.67,1.7
2017-10-01,Oct 2017,1.88,1.57
2017-11-01,Nov 2017,1.6,1.64
2017-12-01,Dec 2017,1.76,2.08
2018-01-01,Jan 2018,2.13,1.81
2018-02-01,Feb 2018,1.73,1.52
2018-03-01,Mar 2018,1.68,1.74
2018-04-01,Apr 2018,1.67,1.71
2018-05-01,May 2018,1.48,1.56
2018-06-01,Jun 2018,1.51,1.79
2018-07-01,Jul 2018,2.01,1.73
2018-08-01,Aug 2018,1.72,1.77
2018-09-01,Sep 2018,1.72,1.76
2018-10-01,Oct 2018,1.96,1.64
2018-11-01,Nov 2018,1.67,1.72
2018-12-01,Dec 2018,1.85,2.18
2019-01-01,Jan 2019,2.22,1.91
2019-02-01,Feb 2019,1.79,1.52
2019-03-01,Mar 2019,1.66,1.68
2019-04-01,Apr 2019,1.67,1.83
2019-05-01,May 2019,1.59,1.63
2019-06-01,Jun 2019,1.56,1.8
2019-07-01,Jul 2019,2.01,1.76
2019-08-01,Aug 2019,1.78,1.81
2019-09-01,Sep 2019,1.75,1.8
2019-10-01,Oct 2019,1.98,1.68
2019-11-01,Nov 2019,1.72,1.74
2019-12-01,Dec 2019,1.89,2.24
2020-01-01,Jan 2020,2.26,1.97
2020-02-01,Feb 2020,1.57,1.29
2020-03-01,Mar 2020,0.92,0.83
2020-04-01,Apr 2020,0.02,0.06
2020-05-01,May 2020,0.02,0.03
2020-06-01,Jun 2020,0.03,0.04
2020-07-01,Jul 2020,0.02,0.06
2020-08-01,Aug 2020,0.01,0.06
2020-09-01,Sep 2020,0.02,0.05
2020-10-01,Oct 2020,0.02,0.05
2020-11-01,Nov 2020,0.03,0.04
2020-12-01,Dec 2020,0.03,0.05
2021-01-01,Jan 2021,0.03,0.04
2021-02-01,Feb 2021,0.03,0.03
2021-03-01,Mar 2021,0.03,0.03
2021-04-01,Apr 2021,0.05,0.06
2021-05-01,May 2021,0.11,0.11
2021-06-01,Jun 2021,0.1,0.1
2021-07-01,Jul 2021,0.07,0.09
2021-08-01,Aug 2021,0.03,0.04
2021-09-01,Sep 2021,0.02,0.03
2021-10-01,Oct 2021,0.02,0.04
2021-11-01,Nov 2021,0.07,0.09
2021-12-01,Dec 2021,0.2,0.23
2022-01-01,Jan 2022,0.27,0.19
2022-02-01,Feb 2022,0.27,0.18
2022-03-01,Mar 2022,0.37,0.34
2022-04-01,Apr 2022,0.57,0.61
2022-05-01,May 2022,0.65,0.66
2022-06-01,Jun 2022,0.73,0.88
2022-07-01,Jul 2022,1.08,0.97
2022-08-01,Aug 2022,1.03,0.94
2022-09-01,Sep 2022,1.07,1.04
2022-10-01,Oct 2022,1.21,1.01
2022-11-01,Nov 2022,1.19,1.18
2022-12-01,Dec 2022,1.26,1.52
2023-01-01,Jan 2023,1.61,1.38
2023-02-01,Feb 2023,1.38,1.07
2023-03-01,Mar 2023,1.34,1.32
2023-04-01,Apr 2023,1.37,1.43
2023-05-01,May 2023,1.3,1.36
2023-06-01,Jun 2023,1.36,1.56
2023-07-01,Jul 2023,1.74,1.49
2023-08-01,Aug 2023,1.54,1.52
2023-09-01,Sep 2023,1.6,1.59
2023-10-01,Oct 2023,1.74,1.48
2023-11-01,Nov 2023,1.56,1.59
2023-12-01,Dec 2023,1.7,2.03
2024-01-01,Jan 2024,2.12,1.75
2024-02-01,Feb 2024,1.79,1.49
2024-03-01,Mar 2024,1.61,1.71
2024-04-01,Apr 2024,1.63,1.65
2024-05-01,May 2024,1.48,1.56
2024-06-01,Jun 2024,1.53,1.76
2024-07-01,Jul 2024,1.93,1.65
2024-08-01,Aug 2024,1.66,1.69
2024-09-01,Sep 2024,1.73,1.8
2024-10-01,Oct 2024,1.94,1.66
2024-11-01,Nov 2024,1.71,1.78
2024-12-01,Dec 2024,1.85,2.26
2025-01-01,Jan 2025,2.38,2.03
2025-02-01,Feb 2025,1.87,1.52
2025-03-01,Mar 2025,1.69,1.67
2025-04-01,Apr 2025,1.76,1.93
2025-05-01,May 2025,1.66,1.68
2025-06-01,Jun 2025,1.62,1.81
2025-07-01,Jul 2025,2.07,1.82
2025-08-01,Aug 2025,1.81,1.84
